2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 70% Accuracy: 82.25%, Execution time: 163.3490834236145
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 50% Accuracy: 82.79%, Execution time: 164.58922457695007
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 60% Accuracy: 82.88%, Execution time: 165.29487657546997
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 10% Accuracy: 79.93%, Execution time: 45.1776077747345
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 20% Accuracy: 82.72%, Execution time: 63.936477184295654
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 30% Accuracy: 83.51%, Execution time: 76.13241362571716
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 40% Accuracy: 83.30%, Execution time: 83.28235745429993
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 50% Accuracy: 85.19%, Execution time: 95.30525326728821
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 60% Accuracy: 84.78%, Execution time: 95.65999507904053
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 90% Accuracy: 81.52%, Execution time: 95.78512167930603
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 80% Accuracy: 79.35%, Execution time: 96.54646444320679
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 70% Accuracy: 81.88%, Execution time: 96.86146450042725
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 10% Accuracy: 79.93%, Execution time: 68.52322387695312
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 20% Accuracy: 82.72%, Execution time: 122.82829141616821
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 30% Accuracy: 83.51%, Execution time: 142.26965999603271
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 90% Accuracy: 81.52%, Execution time: 161.53159952163696
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 40% Accuracy: 83.30%, Execution time: 165.94985628128052
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 50% Accuracy: 85.19%, Execution time: 171.35552525520325
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 80% Accuracy: 79.35%, Execution time: 171.74474382400513
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 70% Accuracy: 81.88%, Execution time: 174.56128931045532
2025-05-14 00:38:47,826 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 60% Accuracy: 84.78%, Execution time: 175.42540431022644
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 10% Accuracy: 79.56%, Execution time: 45.44896101951599
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 20% Accuracy: 82.31%, Execution time: 67.95862054824829
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 30% Accuracy: 83.51%, Execution time: 76.3963725566864
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 40% Accuracy: 83.30%, Execution time: 87.03430390357971
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 50% Accuracy: 84.97%, Execution time: 93.57790994644165
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 90% Accuracy: 81.52%, Execution time: 96.81083488464355
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 60% Accuracy: 84.78%, Execution time: 99.22074389457703
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 80% Accuracy: 79.35%, Execution time: 99.03790545463562
2025-05-14 00:43:22,516 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 70% Accuracy: 81.88%, Execution time: 99.96655249595642
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 10% Accuracy: 79.56%, Execution time: 76.79523158073425
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 20% Accuracy: 82.31%, Execution time: 118.29463410377502
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 30% Accuracy: 83.51%, Execution time: 150.85582780838013
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 90% Accuracy: 81.52%, Execution time: 165.34196710586548
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 40% Accuracy: 83.30%, Execution time: 166.59243822097778
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 50% Accuracy: 84.97%, Execution time: 171.54573822021484
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 80% Accuracy: 79.35%, Execution time: 171.26903533935547
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 70% Accuracy: 81.88%, Execution time: 173.48065900802612
2025-05-14 00:43:22,521 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: hard, Control Ratio: 60% Accuracy: 84.78%, Execution time: 173.60464763641357
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 10% Accuracy: 80.53%, Execution time: 47.62157654762268
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 20% Accuracy: 82.99%, Execution time: 68.6943633556366
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 30% Accuracy: 84.60%, Execution time: 83.70451641082764
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 40% Accuracy: 84.57%, Execution time: 89.47846937179565
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 50% Accuracy: 84.10%, Execution time: 96.35694074630737
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 60% Accuracy: 84.51%, Execution time: 100.25570368766785
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 90% Accuracy: 82.61%, Execution time: 100.11485624313354
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 70% Accuracy: 82.25%, Execution time: 101.05017638206482
2025-05-14 00:48:04,202 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 80% Accuracy: 79.89%, Execution time: 101.15828800201416
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 10% Accuracy: 80.53%, Execution time: 76.42782282829285
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 20% Accuracy: 82.99%, Execution time: 120.51217007637024
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 30% Accuracy: 84.60%, Execution time: 153.4028730392456
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 90% Accuracy: 82.61%, Execution time: 160.397145986557
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 40% Accuracy: 84.57%, Execution time: 170.09078669548035
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 80% Accuracy: 79.89%, Execution time: 176.34141087532043
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 70% Accuracy: 82.25%, Execution time: 178.56335043907166
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 50% Accuracy: 84.10%, Execution time: 179.50284910202026
2025-05-14 00:48:04,207 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: soft, Control Ratio: 60% Accuracy: 84.51%, Execution time: 179.24211311340332
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 10% Accuracy: 80.41%, Execution time: 44.149293422698975
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 20% Accuracy: 82.45%, Execution time: 68.91601347923279
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 30% Accuracy: 84.60%, Execution time: 78.75350570678711
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 40% Accuracy: 84.39%, Execution time: 87.84075617790222
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 50% Accuracy: 83.66%, Execution time: 96.15014410018921
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 90% Accuracy: 81.52%, Execution time: 95.42923927307129
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 80% Accuracy: 79.89%, Execution time: 97.91683173179626
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 60% Accuracy: 83.97%, Execution time: 98.16108083724976
2025-05-14 00:52:38,412 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 70% Accuracy: 82.25%, Execution time: 98.93848466873169
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 10% Accuracy: 80.41%, Execution time: 75.32751893997192
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 20% Accuracy: 82.45%, Execution time: 120.09344291687012
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 30% Accuracy: 84.60%, Execution time: 140.74631667137146
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 90% Accuracy: 81.52%, Execution time: 156.59218907356262
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 40% Accuracy: 84.39%, Execution time: 162.8393099308014
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 50% Accuracy: 83.66%, Execution time: 169.49550366401672
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 80% Accuracy: 79.89%, Execution time: 170.54809021949768
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 70% Accuracy: 82.25%, Execution time: 172.13896894454956
2025-05-14 00:52:38,417 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 5, Voting Method: hard, Control Ratio: 60% Accuracy: 83.97%, Execution time: 173.80643892288208
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 10% Accuracy: 82.95%, Execution time: 54.79392075538635
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 20% Accuracy: 83.95%, Execution time: 76.77613306045532
